V,E,T(n) binary
1900.0, 1804050.0, 192.419566
1900.0, 1804050.0, 152.96194
1900.0, 1804050.0, 248.378417
1900.0, 1804050.0, 82.999783
1900.0, 1804050.0, 5.931898
1900.0, 1804050.0, 47.149603
1900.0, 1804050.0, 150.205699
1900.0, 1804050.0, 14.374252
1900.0, 1804050.0, 15.442824
1900.0, 1804050.0, 120.896372
1900.0, 1804050.0, 19.023888
1900.0, 1804050.0, 110.22151
1900.0, 1804050.0, 78.427036
1900.0, 1804050.0, 1.325413
1900.0, 1804050.0, 150.687235
1900.0, 1804050.0, 92.795432
1900.0, 1804050.0, 21.828694
1900.0, 1804050.0, 175.78433
1900.0, 1804050.0, 0.676337
1900.0, 1804050.0, 189.529719
1900.0, 1804050.0, 176.047007
1900.0, 1804050.0, 169.711745
1900.0, 1804050.0, 215.834049
1900.0, 1804050.0, 214.876068
1900.0, 1804050.0, 151.886804
1900.0, 1804050.0, 218.974473
1900.0, 1804050.0, 34.45429
1900.0, 1804050.0, 256.379852
1900.0, 1804050.0, 261.336621
1900.0, 1804050.0, 152.928528
1900.0, 1804050.0, 83.857513
1900.0, 1804050.0, 78.905375
1900.0, 1804050.0, 232.591806
1900.0, 1804050.0, 180.34331
1900.0, 1804050.0, 230.474331
1900.0, 1804050.0, 51.171976
1900.0, 1804050.0, 15.900627
1900.0, 1804050.0, 117.931228
1900.0, 1804050.0, 32.964319
1900.0, 1804050.0, 93.160335
2000.0, 1999000.0, 225.647648
2000.0, 1999000.0, 240.315392
2000.0, 1999000.0, 103.884024
2000.0, 1999000.0, 482.565335
2000.0, 1999000.0, 196.812687
2000.0, 1999000.0, 207.027462
2000.0, 1999000.0, 160.252632
2000.0, 1999000.0, 105.187726
2000.0, 1999000.0, 231.536959
2000.0, 1999000.0, 230.145974
2000.0, 1999000.0, 91.216634
2000.0, 1999000.0, 175.057815
2000.0, 1999000.0, 215.969604
2000.0, 1999000.0, 223.518931
2000.0, 1999000.0, 187.574497
2000.0, 1999000.0, 35.686016
2000.0, 1999000.0, 1.997066
2000.0, 1999000.0, 180.484576
2000.0, 1999000.0, 136.048924
2000.0, 1999000.0, 11.917206
2000.0, 1999000.0, 116.462525
2000.0, 1999000.0, 85.480072
2000.0, 1999000.0, 160.183623
2000.0, 1999000.0, 26.498259
2000.0, 1999000.0, 55.957737
2000.0, 1999000.0, 192.673767
2000.0, 1999000.0, 51.287523
2000.0, 1999000.0, 79.877318
2000.0, 1999000.0, 43.006407
2000.0, 1999000.0, 171.112397
2000.0, 1999000.0, 127.985505
2000.0, 1999000.0, 176.401097
2000.0, 1999000.0, 157.547573
2000.0, 1999000.0, 147.119637
2000.0, 1999000.0, 40.4282
2000.0, 1999000.0, 154.156382
2000.0, 1999000.0, 95.834302
2000.0, 1999000.0, 112.899327
2000.0, 1999000.0, 41.108326
2000.0, 1999000.0, 28.400648
