V,E,T(n) std
1600.0, 1279200.0, 212.479134
1600.0, 1279200.0, 78.945208
1600.0, 1279200.0, 95.030771
1600.0, 1279200.0, 105.027724
1600.0, 1279200.0, 24.538305
1600.0, 1279200.0, 141.367583
1600.0, 1279200.0, 67.324468
1600.0, 1279200.0, 79.741219
1600.0, 1279200.0, 77.198429
1600.0, 1279200.0, 140.774292
1600.0, 1279200.0, 365.912016
1600.0, 1279200.0, 111.661412
1600.0, 1279200.0, 265.340899
1600.0, 1279200.0, 206.417013
1600.0, 1279200.0, 164.568947
1600.0, 1279200.0, 98.578694
1600.0, 1279200.0, 65.485342
1600.0, 1279200.0, 65.227276
1600.0, 1279200.0, 49.327243
1600.0, 1279200.0, 131.96616
1600.0, 1279200.0, 137.005511
1600.0, 1279200.0, 135.506629
1600.0, 1279200.0, 121.635209
1600.0, 1279200.0, 64.176326
1600.0, 1279200.0, 97.108994
1600.0, 1279200.0, 128.801573
1600.0, 1279200.0, 69.196093
1600.0, 1279200.0, 19.821939
1600.0, 1279200.0, 114.393076
1600.0, 1279200.0, 132.66628
1600.0, 1279200.0, 30.864207
1600.0, 1279200.0, 92.996095
1600.0, 1279200.0, 128.972523
1600.0, 1279200.0, 79.05223
1600.0, 1279200.0, 48.35184
1600.0, 1279200.0, 82.735689
1700.0, 1444150.0, 74.325621
1700.0, 1444150.0, 120.705957
1700.0, 1444150.0, 41.837499
1700.0, 1444150.0, 151.52551
1700.0, 1444150.0, 135.663754
1700.0, 1444150.0, 58.728549
1700.0, 1444150.0, 338.571749
1700.0, 1444150.0, 128.000202
1700.0, 1444150.0, 93.130523
1700.0, 1444150.0, 45.71671
1700.0, 1444150.0, 134.514783
1700.0, 1444150.0, 70.455727
1700.0, 1444150.0, 232.666273
1700.0, 1444150.0, 52.181361
1700.0, 1444150.0, 120.676501
1700.0, 1444150.0, 31.356627
1700.0, 1444150.0, 32.55531
1700.0, 1444150.0, 244.992554
1700.0, 1444150.0, 108.071741
1700.0, 1444150.0, 55.33456
1700.0, 1444150.0, 100.878106
1700.0, 1444150.0, 155.166114
1700.0, 1444150.0, 95.283101
1700.0, 1444150.0, 70.895192
1700.0, 1444150.0, 303.3532
1700.0, 1444150.0, 227.832567
1700.0, 1444150.0, 122.020158
1700.0, 1444150.0, 87.600531
1700.0, 1444150.0, 192.095326
1700.0, 1444150.0, 116.027729
1700.0, 1444150.0, 136.17149
1700.0, 1444150.0, 39.870147
1700.0, 1444150.0, 88.993086
1700.0, 1444150.0, 79.052595
1700.0, 1444150.0, 133.229635
1700.0, 1444150.0, 99.615285
1700.0, 1444150.0, 29.650008
1700.0, 1444150.0, 104.001493
1700.0, 1444150.0, 118.888965
1700.0, 1444150.0, 104.531223
1800.0, 1619100.0, 346.565418
1800.0, 1619100.0, 232.497361
1800.0, 1619100.0, 166.193
1800.0, 1619100.0, 96.524801
1800.0, 1619100.0, 326.542447
1800.0, 1619100.0, 153.594791
1800.0, 1619100.0, 137.063103
1800.0, 1619100.0, 175.070649
1800.0, 1619100.0, 134.146418
1800.0, 1619100.0, 76.353349
1800.0, 1619100.0, 188.088384
1800.0, 1619100.0, 39.36638
1800.0, 1619100.0, 227.178291
1800.0, 1619100.0, 114.323075
1800.0, 1619100.0, 141.531363
1800.0, 1619100.0, 168.735545
1800.0, 1619100.0, 46.681032
1800.0, 1619100.0, 197.244776
1800.0, 1619100.0, 190.195711
1800.0, 1619100.0, 41.840277
1800.0, 1619100.0, 176.63321
1800.0, 1619100.0, 155.377292
1800.0, 1619100.0, 104.84683
1800.0, 1619100.0, 233.698058
1800.0, 1619100.0, 116.478932
1800.0, 1619100.0, 269.781638
1800.0, 1619100.0, 213.77092
1800.0, 1619100.0, 236.67236
1800.0, 1619100.0, 121.785722
1800.0, 1619100.0, 197.45492
1800.0, 1619100.0, 168.644292
1800.0, 1619100.0, 54.574834
1800.0, 1619100.0, 74.984069
1800.0, 1619100.0, 179.261514
1800.0, 1619100.0, 251.127601
1800.0, 1619100.0, 148.193228
1800.0, 1619100.0, 118.916398
1800.0, 1619100.0, 120.827655
1800.0, 1619100.0, 36.494611
1800.0, 1619100.0, 102.572441
1900.0, 1804050.0, 673.558353
1900.0, 1804050.0, 135.436544
1900.0, 1804050.0, 214.402687
1900.0, 1804050.0, 353.290012
1900.0, 1804050.0, 242.258417
1900.0, 1804050.0, 206.573072
1900.0, 1804050.0, 381.849446
1900.0, 1804050.0, 47.574119
